Date,Spinach Price,Volume
30/04/2021,1.78,122
29/04/2021,1.83,145
28/04/2021,1.7,95
27/04/2021,1.33,200
26/04/2021,1.63,147
24/04/2021,1.7,121
23/04/2021,1.7,88
22/04/2021,1.25,103
21/04/2021,1.33,82
20/04/2021,1.83,144
19/04/2021,1.7,104
18/04/2021,1.33,80
17/04/2021,1.33,167
16/04/2021,1.2,150
15/04/2021,1.33,192
14/04/2021,1.83,68
13/04/2021,1.7,147
12/4/2021,1.75,91
11/4/2021,1.63,75
10/4/2021,1.63,145
9/4/2021,1.7,140
8/4/2021,1.83,139
7/4/2021,1.7,77
6/4/2021,1.25,185
5/4/2021,1.75,117
4/4/2021,2.13,83
3/4/2021,2.13,171
2/4/2021,2.13,30
1/4/2021,1.88,126
31/03/2021,2.25,139
30/03/2021,2.25,212
29/03/2021,3.25,87
28/03/2021,1.75,31
27/03/2021,1.75,124
26/03/2021,1.75,167
25/03/2021,2.25,93
24/03/2021,2.25,98
23/03/2021,3.13,196
22/03/2021,3.75,40
21/03/2021,2.75,78
20/03/2021,2.75,150
19/03/2021,5.38,91
18/03/2021,4.63,62
17/03/2021,10.75,14
16/03/2021,5.38,25
15/03/2021,2.38,135
13/03/2021,2.7,144
12/3/2021,2.75,120
11/3/2021,2.83,131
10/3/2021,2.7,131
9/3/2021,2.7,124
8/3/2021,2.83,123
6/3/2021,2.65,108
5/3/2021,2.2,111
4/3/2021,2.38,96
3/3/2021,2.25,103
2/3/2021,2.25,141
1/3/2021,1.88,79
28/02/2021,1.83,86
27/02/2021,1.83,186
26/02/2021,1.88,99
25/02/2021,2.13,138
24/02/2021,2.13,108
23/02/2021,2.38,164
22/02/2021,2.25,88
21/02/2021,2.25,99
20/02/2021,2.25,158
19/02/2021,2.33,112
18/02/2021,2.25,135
17/02/2021,2.25,83
16/02/2021,2.25,102
15/02/2021,2.25,102
14/02/2021,2.2,103
13/02/2021,2.2,170
12/2/2021,2.2,126
11/2/2021,2.25,170
10/2/2021,2.33,94
9/2/2021,2.13,159
8/2/2021,3.13,111
7/2/2021,2.63,64
6/2/2021,2.63,99
5/2/2021,2.13,105
4/2/2021,2.25,110
3/2/2021,2.75,75
2/2/2021,2.75,137
1/2/2021,2.88,93
31/01/2021,2.75,57
30/01/2021,2.75,135
29/01/2021,2.75,121
28/01/2021,2.38,136
27/01/2021,2.25,75
26/01/2021,2.2,126
25/01/2021,1.88,71
24/01/2021,1.2,44
23/01/2021,1.2,120
22/01/2021,1.25,121
21/01/2021,1.38,150
20/01/2021,1.7,97
19/01/2021,1.83,172
18/01/2021,1.63,116
17/01/2021,1.38,32
16/01/2021,1.38,121
15/01/2021,1.63,88
14/01/2021,1.2,91
13/01/2021,1.33,73
12/1/2021,1.28,154
11/1/2021,1.33,68
10/1/2021,1.63,77
9/1/2021,1.63,146
8/1/2021,1.75,95
7/1/2021,1.63,117
6/1/2021,1.88,140
5/1/2021,2.63,73
4/1/2021,2.63,98
3/1/2021,1.63,76
2/1/2021,1.63,29
31/12/2020,1.38,124
30/12/2020,2.13,102
29/12/2020,2.38,164
28/12/2020,2.38,60
27/12/2020,2.25,61
26/12/2020,2.25,125
24/12/2020,3.13,34
23/12/2020,1.7,64
22/12/2020,1.75,151
21/12/2020,1.3,50
20/12/2020,1.25,46
19/12/2020,1.25,132
18/12/2020,1.33,62
17/12/2020,1.38,84
16/12/2020,1.2,67
15/12/2020,1.33,120
14/12/2020,1.2,60
13/12/2020,1.25,58
12/12/2020,1.25,134
11/12/2020,1.25,69
10/12/2020,1.33,99
9/12/2020,1.2,69
8/12/2020,1.38,148
7/12/2020,1.88,103
6/12/2020,1.83,55
5/12/2020,1.83,117
4/12/2020,1.7,85
3/12/2020,1.33,93
2/12/2020,1.7,47
1/12/2020,1.25,118
30/11/2020,1.33,71
29/11/2020,1.25,69
28/11/2020,1.25,122
27/11/2020,1.2,82
26/11/2020,1.33,94
25/11/2020,1.6,76
24/11/2020,1.68,125
23/11/2020,1.7,78
22/11/2020,1.35,55
21/11/2020,1.35,81
20/11/2020,1.33,65
19/11/2020,1.38,71
18/11/2020,1.25,56
17/11/2020,1.28,127
16/11/2020,1.38,72
15/11/2020,1.63,53
14/11/2020,1.63,100
13/11/2020,1.75,103
12/11/2020,2.25,119
11/11/2020,2.75,65
10/11/2020,1.83,159
9/11/2020,1.7,75
8/11/2020,1.7,51
7/11/2020,1.7,113
6/11/2020,1.83,91
5/11/2020,1.88,62
4/11/2020,1.7,66
